FID,OBJECTID,DBUID,DAUID,CDUID,Tract,CensusBloc,BlockArea,SHAPE_Leng,SHAPE_Area
98,34093,2481038010,240818103800010,2481,24081810380,240818103800010,1.815860033,0.058031939,0.000202877
99,34106,2481039107,240818103910007,2481,24081810391,240818103910007,0.691626012,0.038402527,7.72616E-05
100,34126,2481022510,240818102250010,2481,24081810225,240818102250010,0.0402827,0.020936792,4.4929E-06
101,34658,2481003913,240818100390013,2481,24081810039,240818100390013,0.886219025,0.131080398,9.89943E-05
102,34869,2481028622,240818102860022,2481,24081810286,240818102860022,0.064902499,0.012438253,7.25505E-06
103,35020,2481008301,240818100830001,2481,24081810083,240818100830001,0.130997002,0.02122736,1.46213E-05
104,38982,2481023707,240818102370007,2481,24081810237,240818102370007,0.0495262,0.014158947,5.50635E-06
105,35845,2481020001,240818102000001,2481,24081810200,240818102000001,0.071735002,0.012835676,7.97655E-06
106,36055,2481028512,240818102850012,2481,24081810285,240818102850012,0.00948824,0.00656907,1.06285E-06
107,36468,2481028706,240818102870006,2481,24081810287,240818102870006,0.0145317,0.005886892,1.62495E-06
108,36706,2481022511,240818102250011,2481,24081810225,240818102250011,0.128003001,0.019374177,1.42815E-05
109,36722,2481029706,240818102970006,2481,24081810297,240818102970006,0.0114457,0.00455293,1.27105E-06
110,36826,2481028516,240818102850016,2481,24081810285,240818102850016,0.073671997,0.019427619,8.21125E-06
111,37348,2481020003,240818102000003,2481,24081810200,240818102000003,0.126403004,0.017307594,1.40928E-05
112,37411,2481008905,240818100890005,2481,24081810089,240818100890005,0.0130865,0.005105782,1.45995E-06
113,38020,2481026909,240818102690009,2481,24081810269,240818102690009,0.0156197,0.005726181,1.74085E-06
114,38383,2481023504,240818102350004,2481,24081810235,240818102350004,0.046820901,0.012522129,5.23275E-06
115,38468,2481026914,240818102690014,2481,24081810269,240818102690014,0.0105624,0.006761708,1.18845E-06
116,38753,2481023605,240818102360005,2481,24081810236,240818102360005,0.011506,0.004578886,1.2824E-06
117,40119,2481027803,240818102780003,2481,24081810278,240818102780003,0.016040901,0.005641125,1.8005E-06
